country_name,country_code,population_density,gdp_per_capita,life_expectancy,co2_emissions,dbpedia_uri
Finland,FIN,18.1928768835954,48828.6846862799,81.9317073170732,52.561161021806,http://dbpedia.org/resource/Finland
France,FRA,125.431134613601,39169.8606000707,82.1756097560976,31.6294596150393,http://dbpedia.org/resource/France
Gabon,GAB,9.01361819381379,6605.80346077565,67.073,18.6661886011918,http://dbpedia.org/resource/Gabon
Georgia,GEO,65.1302704783232,4300.85701291207,73.509,22.0376735695122,http://dbpedia.org/resource/Georgia
Germany,DEU,238.017318755545,47394.8734504469,81.0414634146342,58.0417682253472,http://dbpedia.org/resource/Germany
Ghana,GHA,140.147712389575,2195.45481659987,64.309,4.8230996251414,http://dbpedia.org/resource/Ghana
Greece,GRC,82.999216446858,17886.733165236,81.2878048780488,38.1374794961471,http://dbpedia.org/resource/Greece
Grenada,GRD,342.179411764706,8968.55890108484,75.019,20.9925361668405,http://dbpedia.org/resource/Grenada
Guatemala,GTM,161.97578387458,4477.61785000665,69.971,8.00325868518554,http://dbpedia.org/resource/Guatemala
Guinea,GIN,54.4163397362852,1053.66097696415,59.35,2.74916920689976,http://dbpedia.org/resource/Guinea
Guinea Bissau,GNB,71.5951280227596,846.915855715971,61.343,1.3056669517439,http://dbpedia.org/resource/Guinea_Bissau
Guyana,GUY,3.82438666287771,6775.70939096303,67.751,27.7821681330453,http://dbpedia.org/resource/Guyana
Haiti,HTI,407.977068214804,1290.32538667383,63.773,2.27052019399652,http://dbpedia.org/resource/Haiti
Honduras,HND,90.4427562784878,2307.61494319511,70.864,6.98328937360023,http://dbpedia.org/resource/Honduras
Hungary,HUN,105.965581854043,16386.9308821258,75.419512195122,36.733223256383,http://dbpedia.org/resource/Hungary
Iceland,ISL,3.63446394922146,60127.9393575616,83.0634146341463,31.5797229188213,http://dbpedia.org/resource/Iceland
India,IND,471.755150192218,1907.04251637669,70.156,12.6087458553318,http://dbpedia.org/resource/India
Indonesia,IDN,146.371283592869,3853.70288774146,68.817,16.5732716977177,http://dbpedia.org/resource/Indonesia
Iran,IRN,54.0668369799692,3202.50003502169,74.141,56.5068105646186,http://dbpedia.org/resource/Iran
