country_name,country_code,gdp_per_capita,dbpedia_uri
Singapore,SGP,61410.0792630788,http://dbpedia.org/resource/Singapore
Solomon Islands,SLB,2063.32780991967,http://dbpedia.org/resource/Solomon_Islands
Sierra Leone,SLE,845.277557920549,http://dbpedia.org/resource/Sierra_Leone
El Salvador,SLV,3997.19279583709,http://dbpedia.org/resource/El_Salvador
Somalia,SOM,518.16113333875,http://dbpedia.org/resource/Somalia
Serbia,SRB,8098.70955668849,http://dbpedia.org/resource/Serbia
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,STP,2167.22001796925,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Suriname,SUR,4755.39221710693,http://dbpedia.org/resource/Suriname
Slovakia,SVK,19735.4858280801,http://dbpedia.org/resource/Slovakia
Slovenia,SVN,25392.0651093612,http://dbpedia.org/resource/Slovenia
Sweden,SWE,52568.5726980146,http://dbpedia.org/resource/Sweden
Eswatini,SWZ,3466.56936278145,http://dbpedia.org/resource/Eswatini
Seychelles,SYC,14041.4754074575,http://dbpedia.org/resource/Seychelles
Syria,SYR,572.355289831901,http://dbpedia.org/resource/Syria
Chad,TCD,866.947814890409,http://dbpedia.org/resource/Chad
Togo,TGO,863.468665870276,http://dbpedia.org/resource/Togo
Thailand,THA,6985.64393892574,http://dbpedia.org/resource/Thailand
Tajikistan,TJK,834.311715460625,http://dbpedia.org/resource/Tajikistan
Turkmenistan,TKM,5972.72356566861,http://dbpedia.org/resource/Turkmenistan
East Timor,TLS,1630.86938521256,http://dbpedia.org/resource/East_Timor
Tonga,TON,4792.35854741522,http://dbpedia.org/resource/Tonga
Trinidad and Tobago,TTO,15283.6270531554,http://dbpedia.org/resource/Trinidad_and_Tobago
Tunisia,TUN,3548.65363663803,http://dbpedia.org/resource/Tunisia
Turkey,TUR,8798.11791709313,http://dbpedia.org/resource/Turkey
Tuvalu,TUV,4976.11254109571,http://dbpedia.org/resource/Tuvalu
Tanzania,TZA,1117.41528320313,http://dbpedia.org/resource/Tanzania
Uganda,UGA,845.766463890124,http://dbpedia.org/resource/Uganda
Ukraine,UKR,3709.76928710938,http://dbpedia.org/resource/Ukraine
Uruguay,URY,15757.5355995779,http://dbpedia.org/resource/Uruguay
United States,USA,63515.9491807833,http://dbpedia.org/resource/United_States
Uzbekistan,UZB,1978.28051860763,http://dbpedia.org/resource/Uzbekistan
Saint Vincent and the Grenadines,VCT,8351.20324040982,http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines
Venezuela,VEN,1506.0436210041,http://dbpedia.org/resource/Venezuela
Vietnam,VNM,3534.03953482647,http://dbpedia.org/resource/Vietnam
Vanuatu,VUT,3042.98711598286,http://dbpedia.org/resource/Vanuatu
Samoa,WSM,4099.59660548583,http://dbpedia.org/resource/Samoa
South Africa,ZAF,5580.60383075189,http://dbpedia.org/resource/South_Africa
Zambia,ZMB,951.644316655957,http://dbpedia.org/resource/Zambia
Zimbabwe,ZWE,2059.67445384499,http://dbpedia.org/resource/Zimbabwe
