country_name,country_code,co2_emissions,dbpedia_uri
Mauritania,MRT,6.84141124668897,http://dbpedia.org/resource/Mauritania
Mauritius,MUS,23.5081128644707,http://dbpedia.org/resource/Mauritius
Malawi,MWI,0.677089265498003,http://dbpedia.org/resource/Malawi
Malaysia,MYS,59.0697232978332,http://dbpedia.org/resource/Malaysia
Namibia,NAM,12.704361178226,http://dbpedia.org/resource/Namibia
Niger,NER,0.722604621528247,http://dbpedia.org/resource/Niger
Nigeria,NGA,4.30008140311641,http://dbpedia.org/resource/Nigeria
Nicaragua,NIC,5.42601683418703,http://dbpedia.org/resource/Nicaragua
Netherlands,NLD,59.7724278301752,http://dbpedia.org/resource/Netherlands
Norway,NOR,53.8006403970648,http://dbpedia.org/resource/Norway
Nepal,NPL,4.07492997883683,http://dbpedia.org/resource/Nepal
Nauru,NRU,26.8940316686967,http://dbpedia.org/resource/Nauru
New Zealand,NZL,49.2863934619465,http://dbpedia.org/resource/New_Zealand
Oman,OMN,125.08960802254,http://dbpedia.org/resource/Oman
Pakistan,PAK,6.48288172408248,http://dbpedia.org/resource/Pakistan
Panama,PAN,17.8515441985322,http://dbpedia.org/resource/Panama
Peru,PER,11.1885281489527,http://dbpedia.org/resource/Peru
Philippines,PHL,9.5174356133827,http://dbpedia.org/resource/Philippines
Palau,PLW,70.420654351213,http://dbpedia.org/resource/Palau
Papua New Guinea,PNG,4.5060125296934,http://dbpedia.org/resource/Papua_New_Guinea
Poland,POL,58.9405069834167,http://dbpedia.org/resource/Poland
Portugal,PRT,30.2792606953369,http://dbpedia.org/resource/Portugal
Paraguay,PRY,9.15672953656272,http://dbpedia.org/resource/Paraguay
Qatar,QAT,253.814739610598,http://dbpedia.org/resource/Qatar
Romania,ROU,28.5131000116791,http://dbpedia.org/resource/Romania
Russia,RUS,89.6770338671307,http://dbpedia.org/resource/Russia
Rwanda,RWA,0.840993120378094,http://dbpedia.org/resource/Rwanda
Saudi Arabia,SAU,114.132682940326,http://dbpedia.org/resource/Saudi_Arabia
Sudan,SDN,3.743631426533,http://dbpedia.org/resource/Sudan
Senegal,SEN,5.19840448962407,http://dbpedia.org/resource/Senegal
Singapore,SGP,61.4934696165382,http://dbpedia.org/resource/Singapore
Solomon Islands,SLB,2.58452439340211,http://dbpedia.org/resource/Solomon_Islands
Sierra Leone,SLE,1.01822085822513,http://dbpedia.org/resource/Sierra_Leone
El Salvador,SLV,8.10624194805085,http://dbpedia.org/resource/El_Salvador
Somalia,SOM,0.319477226121085,http://dbpedia.org/resource/Somalia
Serbia,SRB,53.7161373774011,http://dbpedia.org/resource/Serbia
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,STP,5.1628011214731,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Suriname,SUR,34.2806124550089,http://dbpedia.org/resource/Suriname
Slovakia,SVK,42.5524384634281,http://dbpedia.org/resource/Slovakia
Slovenia,SVN,47.4778814308661,http://dbpedia.org/resource/Slovenia
Sweden,SWE,25.9439131450198,http://dbpedia.org/resource/Sweden
Eswatini,SWZ,7.77670022148722,http://dbpedia.org/resource/Eswatini
