country_name,country_code,population_density,dbpedia_uri
Peru,PER,25.65513984375,http://dbpedia.org/resource/Peru
Philippines,PHL,375.897186168964,http://dbpedia.org/resource/Philippines
Palau,PLW,38.6782608695652,http://dbpedia.org/resource/Palau
Papua New Guinea,PNG,21.6750121450338,http://dbpedia.org/resource/Papua_New_Guinea
Poland,POL,122.548420605625,http://dbpedia.org/resource/Poland
Portugal,PRT,112.406676011074,http://dbpedia.org/resource/Portugal
Paraguay,PRY,16.621542914674,http://dbpedia.org/resource/Paraguay
Qatar,QAT,243.180852915579,http://dbpedia.org/resource/Qatar
Romania,ROU,83.7328320584145,http://dbpedia.org/resource/Romania
Russia,RUS,8.86891988517952,http://dbpedia.org/resource/Russia
Rwanda,RWA,529.624523713012,http://dbpedia.org/resource/Rwanda
Saudi Arabia,SAU,14.6777023663877,http://dbpedia.org/resource/Saudi_Arabia
Sudan,SDN,25.0477682012848,http://dbpedia.org/resource/Sudan
Senegal,SEN,87.2031319794318,http://dbpedia.org/resource/Senegal
Singapore,SGP,7918.95125348189,http://dbpedia.org/resource/Singapore
Solomon Islands,SLB,26.5987138263666,http://dbpedia.org/resource/Solomon_Islands
Sierra Leone,SLE,109.622582432807,http://dbpedia.org/resource/Sierra_Leone
El Salvador,SLV,300.901206563707,http://dbpedia.org/resource/El_Salvador
Somalia,SOM,26.5425303663085,http://dbpedia.org/resource/Somalia
Serbia,SRB,82.0445475086217,http://dbpedia.org/resource/Serbia
S%C3%A3o Tom%C3%A9 and Pr%C3%ADncipe,STP,226.494791666667,http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Suriname,SUR,3.81487831013121,http://dbpedia.org/resource/Suriname
Slovakia,SVK,113.536335274542,http://dbpedia.org/resource/Slovakia
Slovenia,SVN,104.408881428657,http://dbpedia.org/resource/Slovenia
Sweden,SWE,25.4209438224317,http://dbpedia.org/resource/Sweden
Eswatini,SWZ,69.3447093023256,http://dbpedia.org/resource/Eswatini
Seychelles,SYC,214.047826086957,http://dbpedia.org/resource/Seychelles
Syria,SYR,114.629575777378,http://dbpedia.org/resource/Syria
Chad,TCD,13.6790652795426,http://dbpedia.org/resource/Chad
Togo,TGO,159.399154256297,http://dbpedia.org/resource/Togo
Thailand,THA,140.228785061364,http://dbpedia.org/resource/Thailand
Tajikistan,TJK,70.2450464730888,http://dbpedia.org/resource/Tajikistan
Turkmenistan,TKM,14.7892494626859,http://dbpedia.org/resource/Turkmenistan
East Timor,TLS,89.1763954270343,http://dbpedia.org/resource/East_Timor
Tonga,TON,146.811111111111,http://dbpedia.org/resource/Tonga
Trinidad and Tobago,TTO,266.418128654971,http://dbpedia.org/resource/Trinidad_and_Tobago
Tunisia,TUN,77.0729724510814,http://dbpedia.org/resource/Tunisia
Turkey,TUR,108.343853540013,http://dbpedia.org/resource/Turkey
Tuvalu,TUV,346.633333333333,http://dbpedia.org/resource/Tuvalu
Tanzania,TZA,68.8335944908557,http://dbpedia.org/resource/Tanzania
Uganda,UGA,221.709315778975,http://dbpedia.org/resource/Uganda
Ukraine,UKR,77.1142802899551,http://dbpedia.org/resource/Ukraine
Uruguay,URY,19.4204548051651,http://dbpedia.org/resource/Uruguay
United States,USA,36.248222996211,http://dbpedia.org/resource/United_States
Uzbekistan,UZB,76.2200658118688,http://dbpedia.org/resource/Uzbekistan
Saint Vincent and the Grenadines,VCT,265.451282051282,http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines
Venezuela,VEN,32.2476923076923,http://dbpedia.org/resource/Venezuela
Vietnam,VNM,312.923153250018,http://dbpedia.org/resource/Vietnam
Vanuatu,VUT,24.5166529942576,http://dbpedia.org/resource/Vanuatu
Samoa,WSM,76.2388489208633,http://dbpedia.org/resource/Samoa
South Africa,ZAF,49.9240625180325,http://dbpedia.org/resource/South_Africa
Zambia,ZMB,25.6384872005273,http://dbpedia.org/resource/Zambia
Zimbabwe,ZWE,40.13671448882,http://dbpedia.org/resource/Zimbabwe
